algo,scenario,map,start,goal,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar-dial-cheb,no_roads,arena,97,545,229.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,77,600,268.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,140,144,35.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,533,617,87.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,184,298,253.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,595,474,38.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,235,607,288.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,224,349,28.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,448,419,33.9,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,491,584,95.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,506,135,297.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,278,254,10.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,72,377,284.5,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,21,622,328.2,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,259,249,303.3,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,7,79,18.0,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,60,258,85.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,76,32,51.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,369,79,239.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,581,267,131.4,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,313,545,116.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,238,607,298.8,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,149,529,243.6,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,273,529,283.1,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,457,212,138.4,1,1,1.000000,1
astar-dial-cheb,no_roads,arena,106,110,40.2,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,126,25,23.7,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,308,275,48.7,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,252,156,27.5,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,115,613,173.9,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,99,473,100.5,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,32,30,11.7,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,105,247,151.6,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,262,572,72.2,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,27,222,182.6,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,613,470,45.3,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,249,502,184.0,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,311,6,77.8,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,178,473,173.0,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,381,311,29.4,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,174,242,42.7,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,375,115,118.0,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,104,427,87.0,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,110,404,90.8,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,388,297,69.0,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,44,514,186.2,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,604,139,198.8,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,425,88,101.2,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,620,328,146.1,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,407,214,49.1,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,78,46,114.5,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,257,324,145.4,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,89,262,47.3,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,114,427,102.9,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,311,508,47.5,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,410,181,66.1,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,416,399,46.6,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,233,300,43.9,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,80,191,85.6,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,601,275,77.3,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,182,518,108.7,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,426,303,30.1,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,248,363,79.7,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,57,258,62.4,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,32,354,103.8,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,450,301,26.7,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,74,235,132.8,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,352,236,64.6,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,566,445,26.3,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,513,160,143.0,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,298,156,159.3,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,277,606,65.9,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,296,480,132.6,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,448,407,163.0,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,248,155,163.1,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,576,553,11.9,1,1,1.000000,1
astar-dial-precomp-cheb,no_roads,arena,103,48,124.3,1,1,1.000000,1
