algo,scenario,map,start,goal,n_goals,total_time_us,peak_step_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
bug-bug2,with_roads,bar_chart,1364,76,1,1285.554000,138.581000,1,1,1.142857,1,128,50,1400
bug-bug2,with_roads,bar_chart,596,1203,1,437.173000,44.674000,1,1,1.000000,1,51,17,1400
bug-bug2,with_roads,bar_chart,910,749,1,449.740000,59.669000,1,1,1.416667,1,51,17,1400
bug-bug2,with_roads,bar_chart,431,583,1,305.533000,55.577000,1,1,1.125000,1,18,12,1400
bug-bug2,with_roads,bar_chart,901,293,1,637.436000,83.089000,1,1,1.120000,1,56,24,1400
bug-bug2,with_roads,bar_chart,267,1013,1,533.126000,72.405000,1,1,1.000000,1,60,22,1400
bug-bug2,with_roads,bar_chart,923,711,1,146.336000,34.356000,1,1,1.000000,1,18,6,1400
bug-bug2,no_roads,battlebot,422,79,1,516.425000,74.031000,1,1,1.055556,1,57,19,609
bug-bug2,no_roads,battlebot,12,490,1,1625.277000,185.349000,1,1,1.878049,0,231,77,609
bug-bug2,no_roads,battlebot,177,158,1,54.368000,31.896000,1,1,1.000000,1,6,2,609
bug-bug2,no_roads,battlebot,144,95,1,159.481000,28.334000,1,1,1.000000,1,21,7,609
bug-bug2,no_roads,battlebot,488,74,1,518.137000,69.580000,1,1,1.000000,1,60,20,609
bug-bug2,no_roads,battlebot,445,490,1,76.741000,30.738000,1,1,1.000000,1,9,3,609
bug-bug2,no_roads,battlebot,585,363,1,309.672000,48.554000,1,1,1.000000,1,36,12,609
bug-bug2,no_roads,battlebot,66,390,1,422.668000,81.110000,1,1,1.000000,1,45,15,609
bug-bug2,no_roads,battlebot,275,16,1,1346.650000,163.958000,1,1,1.434783,1,198,66,609
bug-bug2,no_roads,battlebot,15,69,1,1247.501000,148.043000,1,1,1.166667,1,189,63,609
bug-bug2,with_roads,battlebot,422,79,1,491.048000,77.733000,1,1,1.055556,1,57,19,609
bug-bug2,with_roads,battlebot,12,490,1,1586.847000,206.617000,1,1,3.553846,0,231,77,609
bug-bug2,with_roads,battlebot,177,158,1,53.847000,31.124000,1,1,1.000000,1,6,2,609
bug-bug2,with_roads,battlebot,144,95,1,158.350000,27.768000,1,1,1.000000,1,21,7,609
bug-bug2,with_roads,battlebot,488,74,1,515.566000,67.388000,1,1,1.000000,1,60,20,609
bug-bug2,with_roads,battlebot,445,490,1,77.872000,31.287000,1,1,1.000000,1,9,3,609
