algo,scenario,map,start,goal,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar-dial-bfs,with_roads,bar_chart,1165,91,8.8,0,,,
astar-dial-bfs,with_roads,bar_chart,86,271,29.0,0,,,
astar-dial-bfs,with_roads,bar_chart,596,641,257.5,1,1,1.000000,1
astar-dial-bfs,with_roads,bar_chart,76,547,337.7,1,1,1.000000,1
astar-dial-bfs,with_roads,bar_chart,1158,600,22.0,0,,,
astar-dial-bfs,with_roads,bar_chart,1242,775,27.0,0,,,
astar-dial-apsp,no_roads,battlebot,443,79,98.4,1,1,1.000000,1
astar-dial-apsp,no_roads,battlebot,12,514,40.0,1,1,1.000000,1
astar-dial-apsp,no_roads,battlebot,180,160,12.0,1,1,1.000000,1
astar-dial-apsp,no_roads,battlebot,147,96,93.9,1,1,1.000000,1
astar-dial-apsp,no_roads,battlebot,511,74,85.9,1,1,1.000000,1
astar-dial-apsp,no_roads,battlebot,471,514,11.5,1,1,1.000000,1
astar-dial-apsp,no_roads,battlebot,375,66,27.9,1,1,1.000000,1
astar-dial-apsp,no_roads,battlebot,409,280,16.0,1,1,1.000000,1
astar-dial-apsp,no_roads,battlebot,16,15,8.4,1,1,1.000000,1
astar-dial-apsp,no_roads,battlebot,69,143,36.2,1,1,1.000000,1
astar-dial-bfs,no_roads,battlebot,443,79,274.3,1,1,1.000000,1
astar-dial-bfs,no_roads,battlebot,12,514,333.6,1,1,1.000000,1
astar-dial-bfs,no_roads,battlebot,180,160,150.1,1,1,1.000000,1
astar-dial-bfs,no_roads,battlebot,147,96,332.3,1,1,1.000000,1
astar-dial-bfs,no_roads,battlebot,511,74,276.5,1,1,1.000000,1
astar-dial-bfs,no_roads,battlebot,471,514,147.8,1,1,1.000000,1
astar-dial-bfs,no_roads,battlebot,375,66,249.1,1,1,1.000000,1
astar-dial-bfs,no_roads,battlebot,409,280,182.0,1,1,1.000000,1
astar-dial-bfs,no_roads,battlebot,16,15,142.7,1,1,1.000000,1
astar-dial-bfs,no_roads,battlebot,69,143,199.6,1,1,1.000000,1
