algo,scenario,map,start,goal,time_us,reachable,reached_goal,opt_ratio,first_move_correct
astar-jps,with_roads,arena,174,242,57.3,0,,,
astar-jps,with_roads,arena,375,115,104.2,0,,,
astar-jps,with_roads,arena,104,427,125.7,0,,,
astar-jps,with_roads,arena,110,404,116.1,0,,,
astar-jps,with_roads,arena,388,297,74.2,0,,,
astar-jps,with_roads,arena,44,514,384.4,0,,,
astar-jps-dial,with_roads,arena,126,25,86.3,0,,,
astar-jps-dial,with_roads,arena,308,275,77.9,0,,,
astar-jps-dial,with_roads,arena,252,156,97.3,0,,,
astar-jps-dial,with_roads,arena,115,613,315.5,0,,,
astar-jps-dial,with_roads,arena,99,473,52.9,0,,,
astar-jps-dial,with_roads,arena,32,30,48.9,0,,,
astar-jps-dial,with_roads,arena,105,247,305.3,0,,,
astar-jps-dial,with_roads,arena,262,572,135.5,0,,,
astar-jps-dial,with_roads,arena,27,222,383.8,0,,,
astar-jps-dial,with_roads,arena,613,470,92.0,0,,,
astar-jps-dial,with_roads,arena,249,502,291.3,0,,,
astar-jps-dial,with_roads,arena,311,6,149.0,0,,,
astar-jps-dial,with_roads,arena,178,473,241.5,0,,,
astar-jps-dial,with_roads,arena,381,311,71.0,0,,,
astar-jps-dial,with_roads,arena,174,242,71.9,0,,,
astar-jps-dial,with_roads,arena,375,115,133.5,0,,,
astar-jps-dial,with_roads,arena,104,427,107.8,0,,,
astar-jps-dial,with_roads,arena,110,404,129.9,0,,,
astar-jps-dial,with_roads,arena,388,297,104.3,0,,,
astar-jps-dial,with_roads,arena,44,514,330.3,0,,,
astar-dial-cheb,no_roads,bar_chart,319,72,62.7,0,,,
astar-dial-cheb,no_roads,bar_chart,769,673,322.7,0,,,
astar-dial-cheb,no_roads,bar_chart,612,392,89.1,0,,,
astar-dial-cheb,no_roads,bar_chart,293,249,565.9,0,,,
astar-dial-cheb,no_roads,bar_chart,1165,91,22.7,0,,,
astar-dial-cheb,no_roads,bar_chart,86,271,73.8,0,,,
astar-dial-cheb,no_roads,bar_chart,596,641,107.9,0,,,
astar-dial-cheb,no_roads,bar_chart,76,547,146.0,0,,,
astar-dial-cheb,no_roads,bar_chart,1158,600,42.2,0,,,
astar-dial-cheb,no_roads,bar_chart,1242,775,69.1,0,,,
astar-dial-cheb,no_roads,bar_chart,18,441,72.9,0,,,
astar-dial-cheb,no_roads,bar_chart,1167,948,571.0,0,,,
astar-dial-cheb,no_roads,bar_chart,775,431,152.2,0,,,
astar-dial-cheb,no_roads,bar_chart,587,939,600.2,0,,,
astar-dial-cheb,no_roads,bar_chart,293,267,247.2,0,,,
astar-dial-cheb,no_roads,bar_chart,1046,280,55.6,0,,,
astar-dial-cheb,no_roads,bar_chart,995,957,69.2,0,,,
astar-dial-cheb,no_roads,bar_chart,741,123,563.7,0,,,
astar-dial-cheb,no_roads,bar_chart,1272,356,255.5,0,,,
astar-dial-cheb,no_roads,bar_chart,1042,226,559.1,0,,,
astar-jps,no_roads,bar_chart,319,72,66.4,0,,,
astar-jps,no_roads,bar_chart,769,673,202.5,0,,,
astar-jps,no_roads,bar_chart,612,392,72.5,0,,,
astar-jps,no_roads,bar_chart,293,249,743.2,0,,,
astar-jps,no_roads,bar_chart,1165,91,17.5,0,,,
astar-jps,no_roads,bar_chart,86,271,36.3,0,,,
astar-jps,no_roads,bar_chart,596,641,123.3,0,,,
astar-jps,no_roads,bar_chart,76,547,97.6,0,,,
astar-jps,no_roads,bar_chart,1158,600,25.9,0,,,
astar-jps,no_roads,bar_chart,1242,775,33.8,0,,,
astar-jps,no_roads,bar_chart,18,441,32.1,0,,,
astar-jps,no_roads,bar_chart,1167,948,717.3,0,,,
astar-jps,no_roads,bar_chart,775,431,109.9,0,,,
astar-jps,no_roads,bar_chart,587,939,628.1,0,,,
astar-jps,no_roads,bar_chart,293,267,143.2,0,,,
astar-jps,no_roads,bar_chart,1046,280,29.2,0,,,
astar-jps,no_roads,bar_chart,995,957,33.4,0,,,
