algo,scenario,map,start,goal,n_goals,total_time_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
astar-jps-precomp,no_roads,bar_chart,1272,356,1,23.422000,1,1,1.000000,1,78,26,1400
astar-jps-precomp,no_roads,bar_chart,1042,226,1,165.059000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,319,72,1,18.257000,1,1,1.000000,1,21,7,1400
astar-jps-precomp,with_roads,bar_chart,769,673,1,48.648000,1,1,1.608696,1,74,26,1400
astar-jps-precomp,with_roads,bar_chart,612,392,1,28.876000,1,1,1.142857,1,16,10,1400
astar-jps-precomp,with_roads,bar_chart,293,249,1,129.965000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,1165,91,1,6.772000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,86,271,1,6.839000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,596,641,1,30.065000,1,1,1.500000,1,24,10,1400
astar-jps-precomp,with_roads,bar_chart,76,547,1,26.775000,1,1,1.270270,1,47,21,1400
astar-jps-precomp,with_roads,bar_chart,1158,600,1,7.358000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,1242,775,1,6.309000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,18,441,1,6.075000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,1167,948,1,121.430000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,775,431,1,24.866000,1,1,1.933333,1,29,11,1400
astar-jps-precomp,with_roads,bar_chart,587,939,1,119.022000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,293,267,1,35.377000,1,1,1.228571,0,43,21,1400
astar-jps-precomp,with_roads,bar_chart,1046,280,1,6.920000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,995,957,1,6.158000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,741,123,1,120.485000,0,0,,,0,0,1400
astar-jps-precomp,with_roads,bar_chart,1272,356,1,19.370000,1,1,1.193548,1,74,26,1400
astar-jps-precomp,with_roads,bar_chart,1042,226,1,141.588000,0,0,,,0,0,1400
astar-jps-precomp,no_roads,battlebot,443,79,1,40.697000,1,1,1.000000,1,57,19,609
astar-jps-precomp,no_roads,battlebot,12,514,1,40.134000,1,1,1.000000,1,117,39,609
astar-jps-precomp,no_roads,battlebot,180,160,1,10.087000,1,1,1.000000,1,3,1,609
astar-jps-precomp,no_roads,battlebot,147,96,1,69.542000,1,1,1.000000,1,126,42,609
astar-jps-precomp,no_roads,battlebot,511,74,1,46.260000,1,1,1.000000,1,63,21,609
astar-jps-precomp,no_roads,battlebot,471,514,1,16.241000,1,1,1.000000,1,6,2,609
astar-jps-precomp,no_roads,battlebot,375,66,1,37.434000,1,1,1.000000,1,48,16,609
astar-jps-precomp,no_roads,battlebot,409,280,1,20.547000,1,1,1.000000,1,21,7,609
astar-jps-precomp,no_roads,battlebot,16,15,1,8.366000,1,1,1.000000,1,3,1,609
astar-jps-precomp,no_roads,battlebot,69,143,1,21.198000,1,1,1.000000,1,33,11,609
astar-jps-precomp,no_roads,battlebot,154,338,1,32.412000,1,1,1.000000,1,27,9,609
astar-jps-precomp,no_roads,battlebot,416,13,1,226.533000,1,1,1.000000,1,120,40,609
astar-jps-precomp,no_roads,battlebot,388,130,1,33.879000,1,1,1.000000,1,36,12,609
astar-jps-precomp,no_roads,battlebot,496,451,1,14.228000,1,1,1.000000,1,9,3,609
astar-jps-precomp,no_roads,battlebot,489,375,1,28.942000,1,1,1.000000,1,36,12,609
astar-jps-precomp,no_roads,battlebot,277,144,1,30.666000,1,1,1.000000,1,42,14,609
astar-jps-precomp,no_roads,battlebot,297,408,1,32.179000,1,1,1.000000,1,27,9,609
astar-jps-precomp,no_roads,battlebot,183,559,1,36.734000,1,1,1.000000,1,54,18,609
astar-jps-precomp,no_roads,battlebot,597,3,1,241.261000,1,1,1.000000,1,99,33,609
astar-jps-precomp,no_roads,battlebot,526,557,1,24.640000,1,1,1.000000,1,30,10,609
astar-jps-precomp,with_roads,battlebot,443,79,1,39.720000,1,1,1.000000,1,57,19,609
astar-jps-precomp,with_roads,battlebot,12,514,1,37.856000,1,1,1.738462,0,113,39,609
astar-jps-precomp,with_roads,battlebot,180,160,1,9.943000,1,1,1.000000,1,3,1,609
astar-jps-precomp,with_roads,battlebot,147,96,1,66.345000,1,1,1.076923,1,84,42,609
astar-jps-precomp,with_roads,battlebot,511,74,1,45.575000,1,1,1.067797,0,63,21,609
astar-jps-precomp,with_roads,battlebot,471,514,1,14.622000,1,1,1.000000,1,2,2,609
astar-jps-precomp,with_roads,battlebot,375,66,1,38.640000,1,1,1.000000,1,48,16,609
astar-jps-precomp,with_roads,battlebot,409,280,1,20.569000,1,1,1.000000,1,21,7,609
astar-jps-precomp,with_roads,battlebot,16,15,1,8.037000,1,1,1.000000,1,3,1,609
astar-jps-precomp,with_roads,battlebot,69,143,1,21.697000,1,1,1.000000,1,33,11,609
astar-jps-precomp,with_roads,battlebot,154,338,1,33.153000,1,1,1.000000,1,27,9,609
astar-jps-precomp,with_roads,battlebot,416,13,1,232.378000,1,1,1.411765,1,120,40,609
astar-jps-precomp,with_roads,battlebot,388,130,1,30.139000,1,1,1.000000,1,36,12,609
astar-jps-precomp,with_roads,battlebot,496,451,1,13.525000,1,1,1.285714,0,9,3,609
astar-jps-precomp,with_roads,battlebot,489,375,1,27.820000,1,1,1.153846,0,30,12,609
astar-jps-precomp,with_roads,battlebot,277,144,1,29.436000,1,1,1.000000,1,42,14,609
astar-jps-precomp,with_roads,battlebot,297,408,1,30.788000,1,1,1.000000,1,27,9,609
astar-jps-precomp,with_roads,battlebot,183,559,1,34.882000,1,1,1.102041,1,54,18,609
astar-jps-precomp,with_roads,battlebot,597,3,1,250.764000,1,1,1.046512,0,45,33,609
astar-jps-precomp,with_roads,battlebot,526,557,1,25.017000,1,1,1.833333,0,22,10,609
astar-jps-precomp,no_roads,bear_of_doom,268,66,1,49.013000,0,0,,,0,0,441
astar-jps-precomp,no_roads,bear_of_doom,21,309,1,50.237000,0,0,,,0,0,441
astar-jps-precomp,no_roads,bear_of_doom,140,129,1,41.806000,0,0,,,0,0,441
astar-jps-precomp,no_roads,bear_of_doom,120,80,1,8.867000,1,1,1.000000,1,6,2,441
astar-jps-precomp,no_roads,bear_of_doom,308,63,1,43.535000,0,0,,,0,0,441
