algo,scenario,map,start,goal,n_goals,total_time_us,reached,ref_reachable,opt_ratio,first_move_correct,cost_walked,steps_taken,tiles_revealed
astar-jps-mpsp,no_roads,bar_chart,741,123,1,175.854000,0,0,,,0,0,1400
astar-jps-mpsp,no_roads,bar_chart,1272,356,1,34.231000,1,1,1.000000,1,78,26,1400
astar-jps-mpsp,no_roads,bar_chart,1042,226,1,233.465000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,319,72,1,40.742000,1,1,1.000000,1,21,7,1400
astar-jps-mpsp,with_roads,bar_chart,769,673,1,131.144000,1,1,1.608696,1,74,26,1400
astar-jps-mpsp,with_roads,bar_chart,612,392,1,70.225000,1,1,1.142857,1,16,10,1400
astar-jps-mpsp,with_roads,bar_chart,293,249,1,440.225000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,1165,91,1,16.605000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,86,271,1,32.059000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,596,641,1,81.576000,1,1,1.500000,1,24,10,1400
astar-jps-mpsp,with_roads,bar_chart,76,547,1,51.694000,1,1,1.270270,1,47,21,1400
astar-jps-mpsp,with_roads,bar_chart,1158,600,1,24.410000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,1242,775,1,28.244000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,18,441,1,15.689000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,1167,948,1,289.942000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,775,431,1,36.731000,1,1,1.933333,1,29,11,1400
astar-jps-mpsp,with_roads,bar_chart,587,939,1,199.904000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,293,267,1,36.710000,1,1,1.228571,0,43,21,1400
astar-jps-mpsp,with_roads,bar_chart,1046,280,1,26.416000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,995,957,1,23.961000,0,0,,,0,0,1400
astar-jps-mpsp,with_roads,bar_chart,741,123,1,155.963000,0,0,,,0,0,1400
