algo,scenario,map,start,time_us,exact,worst_ratio
bfs-alloc,no_roads,CambcDevs,25,236.278000,1,1.000000
bfs-alloc,no_roads,CambcDevs,1032,230.975000,1,1.000000
bfs-alloc,no_roads,CambcDevs,366,234.103000,1,1.000000
bfs-alloc,no_roads,CambcDevs,335,236.420000,1,1.000000
bfs-alloc,no_roads,CambcDevs,302,238.760000,1,1.000000
bfs-alloc,no_roads,CambcDevs,189,236.087000,1,1.000000
bfs-alloc,no_roads,CambcDevs,1026,239.366000,1,1.000000
bfs-alloc,no_roads,CambcDevs,136,240.546000,1,1.000000
bfs-swap,no_roads,CambcDevs,889,240.651000,1,1.000000
bfs-swap,no_roads,CambcDevs,150,263.378000,1,1.000000
bfs-swap,no_roads,CambcDevs,25,250.025000,1,1.000000
bfs-swap,no_roads,CambcDevs,1032,239.891000,1,1.000000
bfs-swap,no_roads,CambcDevs,366,245.986000,1,1.000000
bfs-swap,no_roads,CambcDevs,335,264.675000,1,1.000000
bfs-swap,no_roads,CambcDevs,302,228.261000,1,1.000000
bfs-swap,no_roads,CambcDevs,189,237.636000,1,1.000000
bfs-swap,no_roads,CambcDevs,1026,243.672000,1,1.000000
bfs-swap,no_roads,CambcDevs,136,236.920000,1,1.000000
bfs-unrolled,no_roads,CambcDevs,889,253.053000,1,1.000000
bfs-unrolled,no_roads,CambcDevs,150,230.990000,1,1.000000
bfs-unrolled,no_roads,CambcDevs,25,230.875000,1,1.000000
bfs-unrolled,no_roads,CambcDevs,1032,231.207000,1,1.000000
bfs-unrolled,no_roads,CambcDevs,366,236.281000,1,1.000000
bfs-unrolled,no_roads,CambcDevs,335,233.204000,1,1.000000
bfs-unrolled,no_roads,CambcDevs,302,241.039000,1,1.000000
bfs-unrolled,no_roads,CambcDevs,189,234.466000,1,1.000000
bfs-unrolled,no_roads,CambcDevs,1026,243.717000,1,1.000000
bfs-unrolled,no_roads,CambcDevs,136,254.128000,1,1.000000
bfs,with_roads,CambcDevs,889,252.896000,0,1.076923
bfs,with_roads,CambcDevs,150,245.794000,0,1.428571
bfs,with_roads,CambcDevs,25,243.361000,0,1.200000
bfs,with_roads,CambcDevs,1032,239.133000,0,1.066667
bfs,with_roads,CambcDevs,366,238.302000,0,1.230769
bfs,with_roads,CambcDevs,335,250.873000,0,1.176471
bfs,with_roads,CambcDevs,302,237.445000,0,1.157895
bfs,with_roads,CambcDevs,189,239.705000,0,1.272727
bfs,with_roads,CambcDevs,1026,244.112000,0,1.023529
bfs,with_roads,CambcDevs,136,247.175000,0,1.153846
bfs-alloc,with_roads,CambcDevs,889,245.867000,0,1.076923
bfs-alloc,with_roads,CambcDevs,150,229.941000,0,1.428571
bfs-alloc,with_roads,CambcDevs,25,226.852000,0,1.200000
bfs-alloc,with_roads,CambcDevs,1032,240.058000,0,1.066667
bfs-alloc,with_roads,CambcDevs,366,232.568000,0,1.230769
bfs-alloc,with_roads,CambcDevs,335,231.562000,0,1.176471
