map,width,height,n_tiles,n_passable,heuristic,pairs_tested,tles,incorrect,mean_time_us,time_p0.05_us,time_p0.25_us,time_p0.50_us,time_p0.75_us,time_p0.95_us,time_p1.00_us,mean_expansions,exp_p0.05,exp_p0.25,exp_p0.50,exp_p0.75,exp_p0.95,exp_p1.00
settlement,50,38,1900,1792,apsp,200,0,0,318.78,21.2,95.87,226.87,432.89,904.07,1635.82,117.6,7.0,32.5,87.0,161.2,333.1,565.0
sierpinski_evil,31,31,961,688,manhattan,200,0,28,94.82,13.96,32.39,62.03,112.94,291.67,722.93,34.8,4.0,11.0,21.5,43.0,106.3,243.0
sierpinski_evil,31,31,961,688,chebyshev,200,0,0,201.94,16.31,63.06,149.89,278.99,576.57,908.3,71.2,5.0,20.8,54.5,98.2,201.2,290.0
sierpinski_evil,31,31,961,688,landmark_k4,200,0,0,257.04,20.76,74.3,191.8,386.9,745.97,1227.54,80.6,5.0,21.5,60.5,118.0,233.3,381.0
sierpinski_evil,31,31,961,688,landmark_k8,200,0,0,237.65,25.4,91.4,181.66,340.98,663.53,1025.7,57.0,5.0,19.0,43.5,83.2,155.1,252.0
sierpinski_evil,31,31,961,688,landmark_k12,200,0,0,274.23,34.36,105.18,211.61,395.81,741.58,1135.46,53.9,5.0,19.0,41.5,78.2,145.0,243.0
sierpinski_evil,31,31,961,688,landmark_k16,200,0,0,307.67,37.08,118.44,242.65,446.94,801.51,1331.18,51.9,5.0,19.0,40.0,78.2,135.2,233.0
sierpinski_evil,31,31,961,688,landmark_k24,200,0,0,382.15,47.73,143.4,307.92,552.16,988.92,1587.17,48.9,5.0,18.5,39.0,73.5,127.1,216.0
sierpinski_evil,31,31,961,688,landmark_k32,200,0,0,461.09,58.99,173.5,369.35,660.77,1152.09,1809.89,47.9,5.0,17.0,39.0,71.2,124.0,190.0
sierpinski_evil,31,31,961,688,landmark_k64,200,0,0,784.84,105.42,302.31,629.81,1143.3,1959.32,3173.57,46.1,5.0,17.0,38.0,70.0,114.1,190.0
sierpinski_evil,31,31,961,688,apsp,200,0,0,112.13,14.0,44.28,93.05,157.65,278.42,446.54,45.4,5.0,17.0,37.0,68.0,113.0,190.0
socket,50,20,1000,698,manhattan,200,0,8,310.99,15.7,98.14,245.71,471.49,821.97,1205.88,128.1,5.0,41.0,96.5,198.5,334.1,497.0
socket,50,20,1000,698,chebyshev,200,0,0,475.73,18.66,159.47,365.5,787.94,1186.95,1443.65,182.3,5.0,63.5,144.5,304.2,428.0,504.0
socket,50,20,1000,698,landmark_k4,200,0,0,315.11,32.23,134.98,250.71,448.97,768.57,916.05,102.2,9.0,45.0,80.0,153.0,258.1,302.0
socket,50,20,1000,698,landmark_k8,200,0,0,349.34,29.79,162.8,294.94,519.81,791.55,1096.95,88.2,6.0,41.0,72.0,135.5,216.0,244.0
socket,50,20,1000,698,landmark_k12,200,0,0,400.44,33.73,187.88,333.84,619.47,897.74,1153.86,86.1,6.0,38.5,69.0,135.0,205.0,234.0
socket,50,20,1000,698,landmark_k16,200,0,0,440.25,36.25,191.07,379.53,662.09,966.67,1192.42,82.2,6.0,34.8,68.0,126.2,194.0,223.0
socket,50,20,1000,698,landmark_k24,200,0,0,549.26,47.18,246.08,478.1,827.01,1195.71,1422.86,79.9,6.0,34.0,67.0,119.5,185.0,204.0
socket,50,20,1000,698,landmark_k32,200,0,0,664.45,65.5,275.79,578.56,989.95,1410.8,1675.93,76.9,6.0,33.0,66.0,118.0,169.1,192.0
socket,50,20,1000,698,landmark_k64,200,0,0,1152.46,107.85,501.61,1003.54,1750.15,2470.06,2652.74,75.2,6.0,32.8,63.5,114.0,164.1,186.0
socket,50,20,1000,698,apsp,200,0,0,173.63,14.58,73.61,146.75,262.76,380.34,449.59,73.3,5.0,32.0,62.5,113.0,157.0,172.0
starry_night,50,41,2050,1914,manhattan,200,0,35,108.3,22.3,50.74,76.53,130.88,315.15,701.59,36.6,6.0,16.0,26.0,42.2,110.3,236.0
starry_night,50,41,2050,1914,chebyshev,200,0,0,401.08,33.01,145.75,296.73,559.61,1149.9,1840.33,127.9,9.0,47.5,99.0,177.0,355.1,520.0
starry_night,50,41,2050,1914,landmark_k4,200,0,0,719.24,38.76,204.8,433.42,1145.16,2186.5,3757.97,213.8,10.0,60.0,122.0,319.8,622.5,1130.0
starry_night,50,41,2050,1914,landmark_k8,200,0,0,581.42,45.16,188.97,416.85,803.9,1698.57,2610.87,129.7,9.0,42.0,91.5,178.2,384.1,594.0
starry_night,50,41,2050,1914,landmark_k12,200,0,0,615.16,55.65,210.01,470.23,792.9,1844.4,3043.14,111.2,9.0,38.0,85.5,142.2,322.0,537.0
starry_night,50,41,2050,1914,landmark_k16,200,0,0,698.05,65.0,253.07,539.22,906.71,2176.27,3487.4,109.5,9.0,38.0,84.5,139.0,322.0,532.0
starry_night,50,41,2050,1914,landmark_k24,200,0,0,901.0,93.67,329.22,707.06,1173.17,2835.72,4077.28,105.9,9.0,37.8,84.0,137.0,315.0,481.0
starry_night,50,41,2050,1914,landmark_k32,200,0,0,1066.76,97.1,381.93,836.59,1347.46,3264.86,4826.85,103.6,9.0,36.0,84.0,133.2,294.1,461.0
starry_night,50,41,2050,1914,landmark_k64,200,9,0,1787.24,199.88,639.69,1423.21,2339.97,5301.05,6530.81,100.1,9.0,35.0,84.0,131.2,294.1,320.0
starry_night,50,41,2050,1914,apsp,200,0,0,274.39,26.41,96.86,217.43,360.4,830.34,1253.75,101.0,9.0,34.0,83.5,129.8,294.1,412.0
tiles,40,30,1200,882,manhattan,153,0,11,205.97,17.75,71.45,138.52,256.15,565.21,1122.11,85.3,5.6,29.0,56.0,108.0,240.0,451.0
tiles,40,30,1200,882,chebyshev,153,0,0,345.88,27.41,116.36,226.44,480.03,1100.28,1406.83,135.9,7.0,45.0,91.0,193.0,437.0,545.0
tiles,40,30,1200,882,landmark_k4,153,0,0,270.26,37.74,99.05,196.04,336.38,739.01,1619.37,90.6,11.0,32.0,65.0,117.0,252.4,569.0
tiles,40,30,1200,882,landmark_k8,153,0,0,278.43,46.42,119.18,228.82,373.69,736.84,1405.34,73.2,11.0,28.0,56.0,100.0,206.6,357.0
tiles,40,30,1200,882,landmark_k12,153,0,0,300.38,50.15,141.96,234.88,422.4,712.18,1667.72,64.8,8.6,27.0,50.0,95.0,167.2,351.0
tiles,40,30,1200,882,landmark_k16,153,0,0,342.1,53.14,168.33,275.69,451.44,785.86,1848.58,61.7,7.6,27.0,49.0,88.0,154.8,345.0
tiles,40,30,1200,882,landmark_k24,153,0,0,400.47,70.22,198.53,332.75,527.27,906.53,2313.11,56.0,7.0,25.0,46.0,72.0,138.0,336.0
tiles,40,30,1200,882,landmark_k32,153,0,0,475.92,79.56,240.42,400.36,639.35,1037.62,2706.75,53.7,7.0,25.0,45.0,69.0,129.8,329.0
tiles,40,30,1200,882,landmark_k64,153,0,0,771.71,152.1,397.96,635.3,982.76,1693.33,4364.71,48.7,7.0,22.0,38.0,62.0,107.4,309.0
tiles,40,30,1200,882,apsp,153,0,0,116.17,18.58,57.59,93.5,143.76,272.74,606.05,46.3,7.0,22.0,37.0,58.0,105.8,261.0
wasteland_oasis,40,40,1600,1030,manhattan,200,0,110,78.99,18.04,41.14,67.19,100.44,189.36,367.29,32.0,7.0,16.0,28.0,40.0,72.0,150.0
wasteland_oasis,40,40,1600,1030,chebyshev,200,0,0,212.87,28.09,79.23,172.27,266.45,553.9,928.35,82.5,9.0,31.8,70.5,107.2,206.2,336.0
wasteland_oasis,40,40,1600,1030,landmark_k4,200,0,0,271.78,32.85,94.25,204.52,359.44,767.28,1560.46,94.0,9.0,31.0,65.0,123.0,271.0,520.0
wasteland_oasis,40,40,1600,1030,landmark_k8,200,0,0,258.52,35.86,106.84,197.68,335.29,742.1,1526.35,71.0,9.0,27.8,52.5,90.2,215.3,413.0
wasteland_oasis,40,40,1600,1030,landmark_k12,200,0,0,275.93,42.37,122.17,210.0,390.23,694.73,1139.7,63.2,9.0,26.0,49.0,87.0,172.1,253.0
wasteland_oasis,40,40,1600,1030,landmark_k16,200,0,0,309.67,54.53,138.03,247.48,430.41,814.41,1249.86,59.9,9.0,25.8,46.0,82.2,163.4,246.0
wasteland_oasis,40,40,1600,1030,landmark_k24,200,0,0,385.03,66.43,172.57,308.37,528.14,993.11,1473.09,58.6,9.0,24.8,44.5,80.2,161.0,244.0
wasteland_oasis,40,40,1600,1030,landmark_k32,200,0,0,461.1,87.49,205.44,376.57,599.32,1174.16,1801.76,56.2,8.0,23.8,43.5,75.5,149.1,242.0
wasteland_oasis,40,40,1600,1030,landmark_k64,200,0,0,755.38,144.43,341.44,602.3,1020.03,1839.65,2954.35,53.0,8.0,22.0,42.0,71.2,138.0,218.0
wasteland_oasis,40,40,1600,1030,apsp,200,0,0,116.91,21.84,49.21,93.12,154.92,304.3,522.61,50.2,8.0,20.0,40.0,70.0,127.1,217.0
