map,width,height,n,passable,scenario,n_roads,technique,weight,t_p50,t_p95,t_max,t_mean,exp_mean,o_mean,o_p95,o_max,nopath
hourglass,27,45,1215,1011,with_roads,11,astar_w3,3,48.2,197.7,215.0,66.9,69,1.0,1.0,1.0,0
hourglass,27,45,1215,1011,with_roads,11,astar_w5,5,24.5,85.2,103.6,32.1,26,1.0247,1.25,1.5,0
hourglass,27,45,1215,1011,with_roads,11,astar_w_avg,4,38.8,130.7,154.7,51.4,50,1.0057,1.0171,1.2212,0
hourglass,27,45,1215,1011,with_roads,11,astar_w_min,1,80.9,239.5,264.1,101.1,113,1.0,1.0,1.0,0
hourglass,27,45,1215,1011,with_roads,11,greedy,0,12.7,31.2,33.6,13.8,10,1.1388,1.6852,2.0328,0
landscape,30,30,900,758,no_roads,0,dial_exact,0,290.5,463.7,527.5,273.0,416,1.0,1.0,1.0,0
landscape,30,30,900,758,no_roads,0,astar_w1,1,305.1,584.5,729.1,304.7,344,1.0,1.0,1.0,0
landscape,30,30,900,758,no_roads,0,astar_w3,3,189.8,425.5,636.7,197.6,207,1.0,1.0,1.0,0
landscape,30,30,900,758,no_roads,0,astar_w5,5,80.0,188.4,225.3,84.1,77,1.0,1.0,1.0,0
landscape,30,30,900,758,no_roads,0,astar_w_avg,5,82.2,193.0,229.4,84.1,77,1.0,1.0,1.0,0
landscape,30,30,900,758,no_roads,0,astar_w_min,5,79.7,187.7,302.7,85.6,77,1.0,1.0,1.0,0
landscape,30,30,900,758,no_roads,0,greedy,0,24.6,45.2,131.5,25.0,21,1.176,1.5202,2.1466,0
landscape,30,30,900,758,with_roads,32,dial_exact,0,267.6,473.1,521.9,261.2,405,1.0,1.0,1.0,0
landscape,30,30,900,758,with_roads,32,astar_w1,1,278.8,620.1,741.5,289.9,326,1.0,1.0,1.0,0
landscape,30,30,900,758,with_roads,32,astar_w3,3,156.8,477.4,609.7,180.3,187,1.0021,1.0058,1.1667,0
landscape,30,30,900,758,with_roads,32,astar_w5,5,55.9,173.6,204.9,69.1,63,1.0249,1.1667,1.4186,0
landscape,30,30,900,758,with_roads,32,astar_w_avg,4,95.4,326.9,503.8,121.8,123,1.0076,1.0379,1.4186,0
landscape,30,30,900,758,with_roads,32,astar_w_min,1,265.6,625.8,744.6,287.7,326,1.0,1.0,1.0,0
landscape,30,30,900,758,with_roads,32,greedy,0,23.9,45.6,62.9,24.2,21,1.2839,2.0,2.4286,0
minimaze,25,25,625,446,no_roads,0,dial_exact,0,135.5,264.0,304.3,136.6,205,1.0,1.0,1.0,0
minimaze,25,25,625,446,no_roads,0,astar_w1,1,128.4,321.1,384.6,142.6,173,1.0,1.0,1.0,0
minimaze,25,25,625,446,no_roads,0,astar_w3,3,83.1,264.1,342.5,99.7,116,1.0,1.0,1.0,0
minimaze,25,25,625,446,no_roads,0,astar_w5,5,48.7,182.0,229.2,63.9,67,1.0,1.0,1.0,0
minimaze,25,25,625,446,no_roads,0,astar_w_avg,5,50.0,180.0,253.4,65.4,67,1.0,1.0,1.0,0
minimaze,25,25,625,446,no_roads,0,astar_w_min,5,49.5,179.3,230.5,64.8,67,1.0,1.0,1.0,0
minimaze,25,25,625,446,no_roads,0,greedy,0,22.9,54.5,88.2,25.8,28,1.1202,1.5392,2.1042,0
minimaze,25,25,625,446,with_roads,61,dial_exact,0,137.5,252.6,280.9,137.3,211,1.0,1.0,1.0,0
minimaze,25,25,625,446,with_roads,61,astar_w1,1,125.1,315.7,346.3,134.4,161,1.0,1.0,1.0,0
minimaze,25,25,625,446,with_roads,61,astar_w3,3,67.0,256.3,325.9,81.3,91,1.0112,1.0787,1.5556,0
minimaze,25,25,625,446,with_roads,61,astar_w5,5,41.9,155.9,271.7,53.0,51,1.0744,1.4776,1.9259,0
minimaze,25,25,625,446,with_roads,61,astar_w_avg,4,50.8,181.1,283.4,64.0,68,1.0245,1.1339,1.9259,0
minimaze,25,25,625,446,with_roads,61,astar_w_min,1,123.4,308.8,519.7,135.8,161,1.0,1.0,1.0,0
minimaze,25,25,625,446,with_roads,61,greedy,0,22.4,51.5,75.1,25.1,28,1.5082,2.6162,3.7901,0
pls_buy_cucats_merch,49,49,2401,2081,no_roads,0,dial_exact,0,817.9,1796.4,2398.6,908.2,1025,1.0,1.0,1.0,0
pls_buy_cucats_merch,49,49,2401,2081,no_roads,0,astar_w1,1,786.8,2246.3,2831.4,934.5,827,1.0,1.0,1.0,0
pls_buy_cucats_merch,49,49,2401,2081,no_roads,0,astar_w3,3,475.6,1678.8,2259.4,583.9,475,1.0,1.0,1.0,0
pls_buy_cucats_merch,49,49,2401,2081,no_roads,0,astar_w5,5,152.5,615.5,1150.4,212.6,164,1.0,1.0,1.0,0
pls_buy_cucats_merch,49,49,2401,2081,no_roads,0,astar_w_avg,5,157.9,615.5,825.2,213.0,164,1.0,1.0,1.0,0
pls_buy_cucats_merch,49,49,2401,2081,no_roads,0,astar_w_min,5,154.9,666.1,822.2,212.6,164,1.0,1.0,1.0,0
pls_buy_cucats_merch,49,49,2401,2081,no_roads,0,greedy,0,39.8,85.3,109.6,41.6,33,1.1868,1.6173,2.2342,0
pls_buy_cucats_merch,49,49,2401,2081,with_roads,69,dial_exact,0,818.8,1692.6,2144.1,845.7,991,1.0,1.0,1.0,0
pls_buy_cucats_merch,49,49,2401,2081,with_roads,69,astar_w1,1,666.1,2045.3,2510.2,785.0,728,1.0,1.0,1.0,0
pls_buy_cucats_merch,49,49,2401,2081,with_roads,69,astar_w3,3,246.4,1516.0,2840.3,435.7,327,1.0042,1.0153,1.4444,0
pls_buy_cucats_merch,49,49,2401,2081,with_roads,69,astar_w5,5,117.2,484.3,808.4,160.0,118,1.1128,1.568,2.2444,0
pls_buy_cucats_merch,49,49,2401,2081,with_roads,69,astar_w_avg,4,162.1,873.3,1181.3,255.0,213,1.0321,1.2308,1.6267,0
pls_buy_cucats_merch,49,49,2401,2081,with_roads,69,astar_w_min,1,668.4,2084.5,2472.9,779.2,728,1.0,1.0,1.0,0
pls_buy_cucats_merch,49,49,2401,2081,with_roads,69,greedy,0,39.8,79.3,144.9,40.7,33,1.5684,2.744,3.5517,0
shish_kebab,20,20,400,336,no_roads,0,dial_exact,0,118.9,204.7,331.5,114.0,170,1.0,1.0,1.0,0
shish_kebab,20,20,400,336,no_roads,0,astar_w1,1,120.7,268.0,321.3,123.7,141,1.0,1.0,1.0,0
shish_kebab,20,20,400,336,no_roads,0,astar_w3,3,64.7,194.1,246.3,77.4,84,1.0,1.0,1.0,0
shish_kebab,20,20,400,336,no_roads,0,astar_w5,5,27.5,107.7,166.9,36.5,34,1.0,1.0,1.0,0
shish_kebab,20,20,400,336,no_roads,0,astar_w_avg,5,27.8,99.3,187.6,36.3,34,1.0,1.0,1.0,0
shish_kebab,20,20,400,336,no_roads,0,astar_w_min,5,29.2,104.4,170.9,36.8,34,1.0,1.0,1.0,0
shish_kebab,20,20,400,336,no_roads,0,greedy,0,13.0,26.5,45.6,13.7,12,1.0604,1.2391,1.5238,0
shish_kebab,20,20,400,336,with_roads,35,dial_exact,0,114.3,197.0,215.8,111.8,172,1.0,1.0,1.0,0
shish_kebab,20,20,400,336,with_roads,35,astar_w1,1,110.8,259.9,335.3,115.6,131,1.0,1.0,1.0,0
shish_kebab,20,20,400,336,with_roads,35,astar_w3,3,47.6,153.2,223.0,58.8,59,1.0085,1.0208,1.75,0
shish_kebab,20,20,400,336,with_roads,35,astar_w5,5,22.6,80.3,230.2,31.2,27,1.1315,1.64,3.0909,0
shish_kebab,20,20,400,336,with_roads,35,astar_w_avg,4,34.8,114.8,286.3,45.1,44,1.054,1.3889,1.8788,0
shish_kebab,20,20,400,336,with_roads,35,astar_w_min,1,103.8,248.1,293.9,114.1,131,1.0,1.0,1.0,0
shish_kebab,20,20,400,336,with_roads,35,greedy,0,13.0,27.0,78.5,14.0,12,1.4037,2.2881,4.0,0
thread_of_connection,20,20,400,304,no_roads,0,dial_exact,0,105.0,196.7,318.1,104.8,151,1.0,1.0,1.0,0
thread_of_connection,20,20,400,304,no_roads,0,astar_w1,1,108.9,220.6,243.4,109.1,139,1.0,1.0,1.0,0
thread_of_connection,20,20,400,304,no_roads,0,astar_w3,3,86.4,213.0,243.9,92.6,111,1.0,1.0,1.0,0
thread_of_connection,20,20,400,304,no_roads,0,astar_w5,5,55.4,176.9,220.9,67.4,74,1.0,1.0,1.0,0
thread_of_connection,20,20,400,304,no_roads,0,astar_w_avg,5,52.6,182.3,232.8,66.9,74,1.0,1.0,1.0,0
thread_of_connection,20,20,400,304,no_roads,0,astar_w_min,5,55.7,178.9,220.3,67.1,74,1.0,1.0,1.0,0
thread_of_connection,20,20,400,304,no_roads,0,greedy,0,23.0,84.3,114.9,33.1,42,1.1035,1.3704,1.56,0
thread_of_connection,20,20,400,304,with_roads,21,dial_exact,0,100.1,190.0,232.2,103.0,150,1.0,1.0,1.0,0
thread_of_connection,20,20,400,304,with_roads,21,astar_w1,1,109.8,220.2,374.8,108.6,133,1.0,1.0,1.0,0
thread_of_connection,20,20,400,304,with_roads,21,astar_w3,3,81.1,209.5,231.2,88.2,103,1.0018,1.0178,1.0769,0
thread_of_connection,20,20,400,304,with_roads,21,astar_w5,5,50.1,177.0,218.2,69.1,74,1.0113,1.0694,1.5714,0
thread_of_connection,20,20,400,304,with_roads,21,astar_w_avg,4,74.6,191.0,220.6,79.1,89,1.0035,1.0234,1.0845,0
thread_of_connection,20,20,400,304,with_roads,21,astar_w_min,1,108.9,214.4,236.8,105.2,133,1.0,1.0,1.0,0
thread_of_connection,20,20,400,304,with_roads,21,greedy,0,22.6,88.7,104.5,33.8,42,1.2959,2.2658,3.9024,0
tree_of_life,39,30,1170,1041,no_roads,0,dial_exact,0,322.9,666.0,850.6,338.1,498,1.0,1.0,1.0,0
tree_of_life,39,30,1170,1041,no_roads,0,astar_w1,1,346.8,989.9,1220.5,413.1,417,1.0,1.0,1.0,0
tree_of_life,39,30,1170,1041,no_roads,0,astar_w3,3,205.6,772.3,896.8,265.9,255,1.0,1.0,1.0,0
tree_of_life,39,30,1170,1041,no_roads,0,astar_w5,5,74.3,323.5,405.0,109.6,94,1.0,1.0,1.0,0
tree_of_life,39,30,1170,1041,no_roads,0,astar_w_avg,5,73.5,330.4,421.3,109.8,94,1.0,1.0,1.0,0
tree_of_life,39,30,1170,1041,no_roads,0,astar_w_min,5,73.9,329.3,462.7,111.4,94,1.0,1.0,1.0,0
tree_of_life,39,30,1170,1041,no_roads,0,greedy,0,23.6,55.3,87.7,26.3,22,1.1373,1.4835,2.1081,0
tree_of_life,39,30,1170,1041,with_roads,48,dial_exact,0,344.7,644.2,760.1,335.0,497,1.0,1.0,1.0,0
tree_of_life,39,30,1170,1041,with_roads,48,astar_w1,1,350.3,787.5,1315.5,369.0,385,1.0,1.0,1.0,0
tree_of_life,39,30,1170,1041,with_roads,48,astar_w3,3,167.8,591.0,929.0,209.2,196,1.0079,1.0426,1.2697,0
tree_of_life,39,30,1170,1041,with_roads,48,astar_w5,5,69.8,286.9,702.3,95.3,76,1.0944,1.5066,3.0492,0
tree_of_life,39,30,1170,1041,with_roads,48,astar_w_avg,4,110.8,393.6,588.5,140.8,133,1.0165,1.1732,1.3696,0
tree_of_life,39,30,1170,1041,with_roads,48,astar_w_min,1,361.1,781.0,1053.6,365.4,385,1.0,1.0,1.0,0
tree_of_life,39,30,1170,1041,with_roads,48,greedy,0,23.9,54.6,90.0,27.0,22,1.3573,2.3735,4.4375,0
wasteland,40,40,1600,1156,no_roads,0,dial_exact,0,389.9,747.5,784.8,399.1,573,1.0,1.0,1.0,0
wasteland,40,40,1600,1156,no_roads,0,astar_w1,1,385.5,989.5,1262.7,444.5,461,1.0,1.0,1.0,0
wasteland,40,40,1600,1156,no_roads,0,astar_w3,3,204.5,645.4,883.8,265.7,265,1.0,1.0,1.0,0
wasteland,40,40,1600,1156,no_roads,0,astar_w5,5,79.1,277.3,486.5,107.0,95,1.0,1.0,1.0,0
wasteland,40,40,1600,1156,no_roads,0,astar_w_avg,5,73.5,305.3,492.9,108.9,95,1.0,1.0,1.0,0
wasteland,40,40,1600,1156,no_roads,0,astar_w_min,5,75.4,282.2,597.8,108.8,95,1.0,1.0,1.0,0
wasteland,40,40,1600,1156,no_roads,0,greedy,0,25.0,51.5,57.2,26.3,22,1.1009,1.2778,1.6471,0
wasteland,40,40,1600,1156,with_roads,81,dial_exact,0,365.9,758.1,1098.9,393.2,562,1.0,1.0,1.0,0
wasteland,40,40,1600,1156,with_roads,81,astar_w1,1,317.9,1024.7,1420.2,421.4,432,1.0,1.0,1.0,0
wasteland,40,40,1600,1156,with_roads,81,astar_w3,3,137.1,1000.8,1769.2,276.9,245,1.0112,1.105,1.3495,0
wasteland,40,40,1600,1156,with_roads,81,astar_w5,5,56.0,291.6,1140.0,97.9,83,1.1101,1.5472,2.0388,0
wasteland,40,40,1600,1156,with_roads,81,astar_w_avg,4,94.2,593.9,1292.6,179.1,166,1.0516,1.3495,1.6522,0
wasteland,40,40,1600,1156,with_roads,81,astar_w_min,1,320.9,1046.9,1118.3,410.8,432,1.0,1.0,1.0,0
wasteland,40,40,1600,1156,with_roads,81,greedy,0,23.9,52.9,69.8,26.6,22,1.3917,2.7531,4.7667,0
bar_chart,35,40,1400,1032,no_roads,0,dial_exact,0,192.6,379.4,429.7,198.5,296,1.0,1.0,1.0,0
bar_chart,35,40,1400,1032,no_roads,0,astar_w1,1,192.4,507.9,607.3,218.3,245,1.0,1.0,1.0,0
bar_chart,35,40,1400,1032,no_roads,0,astar_w3,3,118.5,414.1,586.9,147.2,156,1.0,1.0,1.0,0
bar_chart,35,40,1400,1032,no_roads,0,astar_w5,5,55.8,242.7,499.6,83.0,75,1.0,1.0,1.0,0
bar_chart,35,40,1400,1032,no_roads,0,astar_w_avg,5,52.7,234.3,539.0,81.0,75,1.0,1.0,1.0,0
bar_chart,35,40,1400,1032,no_roads,0,astar_w_min,5,51.6,220.8,500.1,81.4,75,1.0,1.0,1.0,0
bar_chart,35,40,1400,1032,no_roads,0,greedy,0,23.3,80.9,103.0,29.2,29,1.0971,1.3266,1.6602,0
bar_chart,35,40,1400,1032,with_roads,62,dial_exact,0,231.4,383.8,424.3,214.4,319,1.0,1.0,1.0,0
bar_chart,35,40,1400,1032,with_roads,62,astar_w1,1,208.1,457.9,577.9,209.1,232,1.0,1.0,1.0,0
bar_chart,35,40,1400,1032,with_roads,62,astar_w3,3,68.7,293.4,647.9,101.3,104,1.0037,1.0294,1.1318,0
bar_chart,35,40,1400,1032,with_roads,62,astar_w5,5,38.5,174.5,709.3,60.5,52,1.0465,1.2154,1.4439,0
bar_chart,35,40,1400,1032,with_roads,62,astar_w_avg,4,63.9,317.8,804.4,90.4,75,1.0081,1.0526,1.1684,0
bar_chart,35,40,1400,1032,with_roads,62,astar_w_min,1,214.8,499.5,662.8,222.7,232,1.0,1.0,1.0,0
bar_chart,35,40,1400,1032,with_roads,62,greedy,0,26.3,72.2,111.4,31.1,29,1.429,2.098,2.7162,0
binary_tree,41,30,1230,1021,no_roads,0,dial_exact,0,375.7,685.5,1309.0,362.8,518,1.0,1.0,1.0,0
binary_tree,41,30,1230,1021,no_roads,0,astar_w1,1,387.2,940.5,1257.9,426.3,437,1.0,1.0,1.0,0
binary_tree,41,30,1230,1021,no_roads,0,astar_w3,3,226.9,789.4,1135.8,302.4,286,1.0,1.0,1.0,0
binary_tree,41,30,1230,1021,no_roads,0,astar_w5,5,109.9,536.4,1008.4,172.1,143,1.0,1.0,1.0,0
binary_tree,41,30,1230,1021,no_roads,0,astar_w_avg,5,107.2,534.8,1004.7,171.2,143,1.0,1.0,1.0,0
binary_tree,41,30,1230,1021,no_roads,0,astar_w_min,5,112.1,515.9,1121.1,170.4,143,1.0,1.0,1.0,0
binary_tree,41,30,1230,1021,no_roads,0,greedy,0,33.1,123.2,206.6,45.5,46,1.14,1.5587,1.8359,0
binary_tree,41,30,1230,1021,with_roads,52,dial_exact,0,377.0,656.8,959.5,364.8,521,1.0,1.0,1.0,0
binary_tree,41,30,1230,1021,with_roads,52,astar_w1,1,370.5,887.7,1036.2,404.5,417,1.0,1.0,1.0,0
binary_tree,41,30,1230,1021,with_roads,52,astar_w3,3,188.7,703.1,942.3,247.3,232,1.0055,1.0,1.6154,0
binary_tree,41,30,1230,1021,with_roads,52,astar_w5,5,89.5,497.3,857.9,145.9,117,1.0517,1.321,2.2292,0
binary_tree,41,30,1230,1021,with_roads,52,astar_w_avg,4,121.7,558.2,851.4,170.9,158,1.0113,1.0474,1.6923,0
binary_tree,41,30,1230,1021,with_roads,52,astar_w_min,1,355.4,864.8,970.4,386.7,417,1.0,1.0,1.0,0
binary_tree,41,30,1230,1021,with_roads,52,greedy,0,30.7,118.2,167.6,42.1,46,1.3662,2.1957,3.4017,0
butterfly,31,31,961,633,no_roads,0,dial_exact,0,51.1,99.5,122.0,53.6,69,1.0,1.0,1.0,0
butterfly,31,31,961,633,no_roads,0,astar_w1,1,51.2,117.6,123.7,51.7,59,1.0,1.0,1.0,0
butterfly,31,31,961,633,no_roads,0,astar_w3,3,31.4,95.0,106.9,34.7,39,1.0,1.0,1.0,0
butterfly,31,31,961,633,no_roads,0,astar_w5,5,13.4,73.5,82.1,18.3,16,1.0,1.0,1.0,0
butterfly,31,31,961,633,no_roads,0,astar_w_avg,5,12.8,59.5,75.1,18.8,16,1.0,1.0,1.0,0
butterfly,31,31,961,633,no_roads,0,astar_w_min,5,12.3,57.3,72.5,17.3,16,1.0,1.0,1.0,0
butterfly,31,31,961,633,no_roads,0,greedy,0,8.1,17.2,18.7,8.8,7,1.0616,1.325,1.3333,0
butterfly,31,31,961,633,with_roads,0,dial_exact,0,47.9,100.3,112.4,49.8,69,1.0,1.0,1.0,0
butterfly,31,31,961,633,with_roads,0,astar_w1,1,48.3,115.4,122.7,49.7,59,1.0,1.0,1.0,0
butterfly,31,31,961,633,with_roads,0,astar_w3,3,31.0,104.5,119.8,35.7,39,1.0,1.0,1.0,0
butterfly,31,31,961,633,with_roads,0,astar_w5,5,13.5,56.8,72.7,18.1,16,1.0,1.0,1.0,0
butterfly,31,31,961,633,with_roads,0,astar_w_avg,5,14.5,57.0,73.9,17.6,16,1.0,1.0,1.0,0
butterfly,31,31,961,633,with_roads,0,astar_w_min,5,12.7,73.1,85.8,18.1,16,1.0,1.0,1.0,0
butterfly,31,31,961,633,with_roads,0,greedy,0,9.1,16.7,18.9,8.9,7,1.0616,1.325,1.3333,0
cold,37,37,1369,1138,no_roads,0,dial_exact,0,444.2,1046.1,1265.6,450.0,567,1.0,1.0,1.0,0
cold,37,37,1369,1138,no_roads,0,astar_w1,1,419.4,1071.1,1694.7,466.7,476,1.0,1.0,1.0,0
cold,37,37,1369,1138,no_roads,0,astar_w3,3,251.3,866.6,1125.3,320.6,298,1.0,1.0,1.0,0
cold,37,37,1369,1138,no_roads,0,astar_w5,5,92.1,439.3,571.5,139.0,120,1.0,1.0,1.0,0
cold,37,37,1369,1138,no_roads,0,astar_w_avg,5,91.1,427.5,544.9,139.6,120,1.0,1.0,1.0,0
cold,37,37,1369,1138,no_roads,0,astar_w_min,5,104.6,529.8,639.0,156.2,120,1.0,1.0,1.0,0
cold,37,37,1369,1138,no_roads,0,greedy,0,27.7,68.5,138.3,31.2,27,1.1155,1.3905,1.9012,0
cold,37,37,1369,1138,with_roads,33,dial_exact,0,390.5,724.8,1115.2,392.8,553,1.0,1.0,1.0,0
cold,37,37,1369,1138,with_roads,33,astar_w1,1,384.5,945.6,1156.3,405.6,421,1.0,1.0,1.0,0
cold,37,37,1369,1138,with_roads,33,astar_w3,3,156.4,701.5,916.6,222.3,207,1.0042,1.0345,1.1429,0
cold,37,37,1369,1138,with_roads,33,astar_w5,5,69.0,306.0,459.4,98.8,81,1.0373,1.2258,1.469,0
cold,37,37,1369,1138,with_roads,33,astar_w_avg,4,107.0,422.2,976.2,150.0,131,1.0138,1.0822,1.3559,0
cold,37,37,1369,1138,with_roads,33,astar_w_min,1,352.3,997.5,1357.0,405.9,421,1.0,1.0,1.0,0
cold,37,37,1369,1138,with_roads,33,greedy,0,27.9,65.8,153.3,32.1,27,1.3539,2.2469,3.036,0
cubes,50,50,2500,1944,no_roads,0,dial_exact,0,922.5,1542.2,1983.9,886.3,1074,1.0,1.0,1.0,0
cubes,50,50,2500,1944,no_roads,0,astar_w1,1,914.2,1863.5,2210.1,983.3,909,1.0,1.0,1.0,0
cubes,50,50,2500,1944,no_roads,0,astar_w3,3,544.1,1512.9,2165.9,681.0,596,1.0,1.0,1.0,0
cubes,50,50,2500,1944,no_roads,0,astar_w5,5,320.5,1206.2,1412.5,423.0,310,1.0,1.0,1.0,0
cubes,50,50,2500,1944,no_roads,0,astar_w_avg,5,312.0,1076.9,1537.9,403.9,310,1.0,1.0,1.0,0
cubes,50,50,2500,1944,no_roads,0,astar_w_min,5,293.2,1102.6,1715.7,393.4,310,1.0,1.0,1.0,0
cubes,50,50,2500,1944,no_roads,0,greedy,0,80.4,266.9,433.5,105.7,111,1.2038,1.5216,1.7391,0
cubes,50,50,2500,1944,with_roads,82,dial_exact,0,873.6,1526.8,2155.3,873.5,1026,1.0,1.0,1.0,0
cubes,50,50,2500,1944,with_roads,82,astar_w1,1,644.1,1892.3,2129.4,776.6,739,1.0,1.0,1.0,0
cubes,50,50,2500,1944,with_roads,82,astar_w3,3,239.5,1077.6,1619.4,372.4,331,1.004,1.0226,1.3061,0
cubes,50,50,2500,1944,with_roads,82,astar_w5,5,155.1,785.8,1365.7,233.7,183,1.0745,1.3352,1.5496,0
cubes,50,50,2500,1944,with_roads,82,astar_w_avg,4,188.8,822.4,1521.4,279.3,237,1.0127,1.0851,1.3061,0
cubes,50,50,2500,1944,with_roads,82,astar_w_min,1,636.3,1862.7,2152.3,790.4,739,1.0,1.0,1.0,0
cubes,50,50,2500,1944,with_roads,82,greedy,0,79.4,251.6,321.0,102.7,111,1.7393,2.9618,4.1947,0
gaussian,35,20,700,599,no_roads,0,dial_exact,0,237.1,366.0,482.5,214.1,323,1.0,1.0,1.0,0
gaussian,35,20,700,599,no_roads,0,astar_w1,1,247.3,463.1,562.2,240.6,275,1.0,1.0,1.0,0
gaussian,35,20,700,599,no_roads,0,astar_w3,3,149.0,409.1,497.5,168.8,178,1.0,1.0,1.0,0
gaussian,35,20,700,599,no_roads,0,astar_w5,5,60.2,195.4,364.0,77.1,70,1.0,1.0,1.0,0
gaussian,35,20,700,599,no_roads,0,astar_w_avg,5,61.9,195.7,314.5,77.6,70,1.0,1.0,1.0,0
gaussian,35,20,700,599,no_roads,0,astar_w_min,5,64.1,196.3,330.2,77.4,70,1.0,1.0,1.0,0
gaussian,35,20,700,599,no_roads,0,greedy,0,20.2,51.1,69.8,21.6,20,1.078,1.2652,1.6,0
gaussian,35,20,700,599,with_roads,33,dial_exact,0,213.2,376.7,421.0,209.9,316,1.0,1.0,1.0,0
gaussian,35,20,700,599,with_roads,33,astar_w1,1,221.5,467.7,520.7,228.0,253,1.0,1.0,1.0,0
gaussian,35,20,700,599,with_roads,33,astar_w3,3,106.7,383.7,565.9,140.1,141,1.0021,1.0145,1.1087,0
gaussian,35,20,700,599,with_roads,33,astar_w5,5,51.0,197.8,383.5,69.9,56,1.0311,1.1458,1.3913,0
gaussian,35,20,700,599,with_roads,33,astar_w_avg,4,76.1,252.2,415.9,93.0,90,1.0053,1.0394,1.1087,0
gaussian,35,20,700,599,with_roads,33,astar_w_min,1,224.9,465.3,819.6,228.3,253,1.0,1.0,1.0,0
gaussian,35,20,700,599,with_roads,33,greedy,0,20.7,46.6,78.1,21.9,20,1.2412,1.72,2.4737,0
git_branches,50,35,1750,1352,no_roads,0,dial_exact,0,214.7,621.1,910.7,265.0,365,1.0,1.0,1.0,0
git_branches,50,35,1750,1352,no_roads,0,astar_w1,1,225.2,796.4,933.3,290.2,314,1.0,1.0,1.0,0
git_branches,50,35,1750,1352,no_roads,0,astar_w3,3,188.1,624.1,868.9,222.0,223,1.0,1.0,1.0,0
git_branches,50,35,1750,1352,no_roads,0,astar_w5,5,82.1,395.4,483.7,120.6,111,1.0,1.0,1.0,0
git_branches,50,35,1750,1352,no_roads,0,astar_w_avg,5,88.8,370.2,492.8,124.4,111,1.0,1.0,1.0,0
git_branches,50,35,1750,1352,no_roads,0,astar_w_min,5,85.6,392.1,507.3,124.1,111,1.0,1.0,1.0,0
git_branches,50,35,1750,1352,no_roads,0,greedy,0,30.1,94.7,126.8,35.4,34,1.1013,1.4034,1.9565,0
git_branches,50,35,1750,1352,with_roads,26,dial_exact,0,220.0,579.9,679.9,259.6,368,1.0,1.0,1.0,0
git_branches,50,35,1750,1352,with_roads,26,astar_w1,1,235.4,705.1,962.4,290.3,306,1.0,1.0,1.0,0
git_branches,50,35,1750,1352,with_roads,26,astar_w3,3,157.7,565.0,765.3,192.0,190,1.0,1.0,1.0,0
git_branches,50,35,1750,1352,with_roads,26,astar_w5,5,78.6,318.1,615.0,112.6,99,1.0622,1.562,2.5,0
git_branches,50,35,1750,1352,with_roads,26,astar_w_avg,4,130.8,383.4,576.0,152.0,146,1.0044,1.0,1.4331,0
git_branches,50,35,1750,1352,with_roads,26,astar_w_min,1,220.1,723.1,840.2,288.9,306,1.0,1.0,1.0,0
git_branches,50,35,1750,1352,with_roads,26,greedy,0,28.9,90.4,119.9,35.3,34,1.3009,2.0702,3.9714,0
mandelbrot,50,41,2050,1692,no_roads,0,dial_exact,0,590.7,1156.9,1344.0,597.2,793,1.0,1.0,1.0,0
mandelbrot,50,41,2050,1692,no_roads,0,astar_w1,1,660.3,1583.8,1829.6,703.4,683,1.0,1.0,1.0,0
mandelbrot,50,41,2050,1692,no_roads,0,astar_w3,3,392.4,1383.7,1735.8,530.1,471,1.0,1.0,1.0,0
mandelbrot,50,41,2050,1692,no_roads,0,astar_w5,5,159.8,1110.5,1641.1,318.7,236,1.0,1.0,1.0,0
mandelbrot,50,41,2050,1692,no_roads,0,astar_w_avg,5,164.2,1122.5,1597.2,319.6,236,1.0,1.0,1.0,0
mandelbrot,50,41,2050,1692,no_roads,0,astar_w_min,5,161.7,1151.0,1695.6,320.4,236,1.0,1.0,1.0,0
mandelbrot,50,41,2050,1692,no_roads,0,greedy,0,46.8,150.9,208.3,57.5,55,1.1537,1.5018,2.186,0
mandelbrot,50,41,2050,1692,with_roads,68,dial_exact,0,564.5,1127.3,1222.7,609.2,786,1.0,1.0,1.0,0
mandelbrot,50,41,2050,1692,with_roads,68,astar_w1,1,515.2,1609.6,1749.5,664.6,635,1.0,1.0,1.0,0
mandelbrot,50,41,2050,1692,with_roads,68,astar_w3,3,257.5,1293.0,2403.7,435.4,382,1.0007,1.0,1.098,0
mandelbrot,50,41,2050,1692,with_roads,68,astar_w5,5,121.1,1040.1,1907.9,251.7,181,1.0571,1.2866,2.15,0
mandelbrot,50,41,2050,1692,with_roads,68,astar_w_avg,4,191.8,1042.9,3638.4,338.5,285,1.0131,1.0758,1.4375,0
mandelbrot,50,41,2050,1692,with_roads,68,astar_w_min,1,494.8,1568.7,1716.2,665.7,635,1.0,1.0,1.0,0
mandelbrot,50,41,2050,1692,with_roads,68,greedy,0,46.8,146.4,220.3,57.7,55,1.4793,3.0699,4.0268,0
pixel_forest,45,25,1125,874,no_roads,0,dial_exact,0,244.2,514.4,794.6,263.6,384,1.0,1.0,1.0,0
pixel_forest,45,25,1125,874,no_roads,0,astar_w1,1,255.6,661.3,820.3,290.4,321,1.0,1.0,1.0,0
pixel_forest,45,25,1125,874,no_roads,0,astar_w3,3,168.9,636.2,697.5,210.0,215,1.0,1.0,1.0,0
