map,width,height,n,passable,scenario,n_roads,technique,weight,t_p50,t_p95,t_max,t_mean,exp_mean,o_mean,o_p95,o_max,nopath
cinnamon_roll,30,30,900,712,no_roads,0,astar_w1,1,238.5,542.0,840.0,255.5,289,1.0,1.0,1.0,0
cinnamon_roll,30,30,900,712,no_roads,0,astar_w3,3,142.5,384.3,582.3,160.1,176,1.0,1.0,1.0,0
cinnamon_roll,30,30,900,712,no_roads,0,astar_w5,5,52.9,181.6,297.2,70.6,68,1.0,1.0,1.0,0
cinnamon_roll,30,30,900,712,no_roads,0,astar_w_avg,5,53.3,190.7,279.7,70.3,68,1.0,1.0,1.0,0
cinnamon_roll,30,30,900,712,no_roads,0,astar_w_min,5,52.3,175.1,306.5,70.2,68,1.0,1.0,1.0,0
cinnamon_roll,30,30,900,712,no_roads,0,greedy,0,20.4,40.4,87.0,22.2,20,1.1418,1.5876,1.8204,0
cinnamon_roll,30,30,900,712,with_roads,41,dial_exact,0,216.9,414.8,439.4,228.7,359,1.0,1.0,1.0,0
cinnamon_roll,30,30,900,712,with_roads,41,astar_w1,1,220.8,550.7,663.7,245.4,280,1.0,1.0,1.0,0
cinnamon_roll,30,30,900,712,with_roads,41,astar_w3,3,104.3,374.5,606.1,145.1,150,1.0067,1.042,1.3636,0
cinnamon_roll,30,30,900,712,with_roads,41,astar_w5,5,42.5,139.6,280.7,56.9,50,1.0521,1.281,1.6522,0
cinnamon_roll,30,30,900,712,with_roads,41,astar_w_avg,4,71.8,261.8,491.1,98.0,94,1.0185,1.1262,1.3696,0
cinnamon_roll,30,30,900,712,with_roads,41,astar_w_min,1,226.1,546.8,634.5,242.4,280,1.0,1.0,1.0,0
cinnamon_roll,30,30,900,712,with_roads,41,greedy,0,22.3,49.2,85.7,24.2,20,1.3359,2.1845,4.2647,0
corridors,31,31,961,748,no_roads,0,dial_exact,0,254.4,449.9,644.1,243.2,371,1.0,1.0,1.0,0
corridors,31,31,961,748,no_roads,0,astar_w1,1,262.9,623.2,743.9,277.5,321,1.0,1.0,1.0,0
corridors,31,31,961,748,no_roads,0,astar_w3,3,154.2,591.9,739.0,206.2,225,1.0,1.0,1.0,0
corridors,31,31,961,748,no_roads,0,astar_w5,5,87.0,405.7,690.5,130.2,126,1.0,1.0,1.0,0
corridors,31,31,961,748,no_roads,0,astar_w_avg,5,88.1,411.5,717.6,131.0,126,1.0,1.0,1.0,0
corridors,31,31,961,748,no_roads,0,astar_w_min,5,87.3,399.6,763.3,131.1,126,1.0,1.0,1.0,0
corridors,31,31,961,748,no_roads,0,greedy,0,37.0,131.5,188.9,48.6,59,1.1225,1.7224,2.4018,0
corridors,31,31,961,748,with_roads,79,dial_exact,0,251.0,445.8,510.8,248.2,381,1.0,1.0,1.0,0
corridors,31,31,961,748,with_roads,79,astar_w1,1,259.9,643.4,819.7,287.8,299,1.0,1.0,1.0,0
corridors,31,31,961,748,with_roads,79,astar_w3,3,131.9,503.6,671.0,167.0,180,1.0066,1.0226,1.3926,0
corridors,31,31,961,748,with_roads,79,astar_w5,5,66.0,332.5,684.4,112.7,111,1.0857,1.4923,2.25,0
corridors,31,31,961,748,with_roads,79,astar_w_avg,4,103.8,398.2,648.2,133.0,140,1.0305,1.2512,1.8633,0
corridors,31,31,961,748,with_roads,79,astar_w_min,1,239.9,608.9,781.8,270.1,299,1.0,1.0,1.0,0
corridors,31,31,961,748,with_roads,79,greedy,0,35.6,123.5,163.5,47.6,59,1.525,3.1017,4.3298,0
default_large1,40,40,1600,1444,no_roads,0,dial_exact,0,516.2,920.1,1182.2,504.9,743,1.0,1.0,1.0,0
default_large1,40,40,1600,1444,no_roads,0,astar_w1,1,539.3,1339.1,1692.9,605.0,611,1.0,1.0,1.0,0
default_large1,40,40,1600,1444,no_roads,0,astar_w3,3,304.5,976.0,1230.9,380.1,359,1.0,1.0,1.0,0
default_large1,40,40,1600,1444,no_roads,0,astar_w5,5,105.3,408.8,996.3,149.8,123,1.0,1.0,1.0,0
default_large1,40,40,1600,1444,no_roads,0,astar_w_avg,5,101.0,408.1,985.1,149.1,123,1.0,1.0,1.0,0
default_large1,40,40,1600,1444,no_roads,0,astar_w_min,5,104.5,421.0,958.8,148.8,123,1.0,1.0,1.0,0
default_large1,40,40,1600,1444,no_roads,0,greedy,0,30.6,58.2,185.6,32.9,24,1.1001,1.3275,2.0877,0
default_large1,40,40,1600,1444,with_roads,80,dial_exact,0,543.9,927.4,1048.6,523.3,762,1.0,1.0,1.0,0
